                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7187,                 1.6361,                 1.3592,                0.82728,                0.64452,                0.73612,                0.42306,                 1.3336,                 1.0396,                 1.1122,             0.00055511,             0.00055511,             0.00055511
                      2,                 1.4725,                 1.2569,                 1.1972,                0.85231,                0.70685,                0.78023,                  0.456,                 1.3021,                0.97213,                 1.0752,              0.0010668,              0.0010668,              0.0010668
                      3,                 1.4351,                 1.2083,                 1.1794,                0.84932,                 0.7104,                0.80187,                0.48316,                 1.2398,                0.90363,                  1.053,              0.0015345,              0.0015345,              0.0015345
                      4,                 1.3823,                  1.132,                 1.1557,                0.87264,                0.72295,                0.80876,                0.48465,                 1.2284,                 0.8907,                 1.0577,               0.001469,               0.001469,               0.001469
                      5,                 1.3387,                 1.0728,                 1.1341,                0.87379,                0.72236,                0.81869,                0.50164,                 1.1644,                0.85281,                 1.0305,               0.001469,               0.001469,               0.001469
                      6,                 1.3007,                 1.0354,                 1.1175,                0.89483,                 0.7465,                0.83905,                0.51871,                 1.1589,                0.82954,                 1.0217,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.2701,                0.99812,                 1.1046,                0.89102,                0.77019,                0.84809,                0.53832,                 1.1125,                0.75415,                 1.0016,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2363,                0.96325,                 1.0862,                0.88371,                0.77829,                0.85063,                0.53433,                 1.1321,                 0.7608,                 1.0129,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.2182,                 0.9192,                 1.0776,                0.89351,                 0.7806,                0.85501,                0.54392,                 1.1114,                0.74331,                 0.9999,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.1896,                 0.8947,                 1.0681,                0.90084,                0.79252,                0.87143,                0.55676,                 1.0634,                0.70912,                0.98137,              0.0011389,              0.0011389,              0.0011389
                     11,                  1.173,                0.87511,                 1.0576,                0.91615,                0.79748,                0.87552,                0.56341,                 1.0475,                0.68253,                0.97004,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.1591,                0.85526,                 1.0512,                0.92096,                0.79729,                0.87185,                0.56761,                 1.0537,                0.67812,                0.97952,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.1292,                0.82331,                 1.0394,                0.91536,                0.81282,                0.88676,                0.57844,                 1.0349,                0.65295,                0.96925,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.1226,                0.80933,                  1.035,                0.92108,                0.82683,                0.89119,                0.58809,                 1.0103,                0.63151,                0.95514,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.1069,                0.79249,                 1.0268,                0.92429,                0.82039,                0.89212,                0.59031,                 1.0093,                0.62931,                0.95216,             0.00080883,             0.00080883,             0.00080883
                     16,                   1.02,                0.64584,                0.97229,                0.92104,                0.82542,                0.89539,                0.59332,                0.99887,                0.61072,                0.95911,             0.00074282,             0.00074282,             0.00074282
                     17,                  1.003,                 0.6168,                0.96323,                0.91938,                0.84017,                0.90094,                0.60009,                0.99053,                0.60048,                0.95001,              0.0006768,              0.0006768,              0.0006768
                     18,                0.98276,                0.59654,                0.95371,                0.93652,                0.83057,                0.90165,                0.60557,                0.98078,                0.58551,                0.94321,             0.00061079,             0.00061079,             0.00061079
                     19,                0.96377,                0.57956,                0.94302,                0.93091,                0.83287,                0.90074,                0.60528,                0.97313,                0.57114,                0.94724,             0.00054478,             0.00054478,             0.00054478
                     20,                0.95067,                0.56692,                0.93928,                0.93603,                0.83962,                0.90328,                0.60802,                0.97075,                0.56484,                0.93877,             0.00047876,             0.00047876,             0.00047876
                     21,                0.93331,                0.55118,                 0.9315,                0.93494,                0.84339,                0.90524,                0.61241,                0.96775,                0.56344,                0.93902,             0.00041275,             0.00041275,             0.00041275
                     22,                0.92422,                 0.5403,                0.92938,                0.94119,                0.83978,                0.90895,                 0.6185,                0.95711,                0.55567,                0.93321,             0.00034674,             0.00034674,             0.00034674
                     23,                0.91222,                0.52909,                0.92129,                 0.9346,                0.84084,                0.90704,                0.62012,                0.94696,                0.55238,                0.92874,             0.00028072,             0.00028072,             0.00028072
                     24,                0.89732,                0.51439,                0.91854,                0.93557,                0.84241,                0.90701,                0.62234,                0.94378,                0.54607,                0.93061,             0.00021471,             0.00021471,             0.00021471
                     25,                0.88569,                0.50195,                0.91141,                0.93923,                0.83971,                0.90915,                0.62164,                0.94604,                0.54567,                 0.9315,              0.0001487,              0.0001487,              0.0001487
